,Victim Sex,Perpetrator Sex,Victim Age,Perpetrator Age,Victim Count,Perpetrator Count,City,State,Year,Month,Incident,Relationship,Weapon,Crime Type,Crime Solved
0,Male,Male,14,15,0,0,Anchorage,Alaska,1980,January,1,Acquaintance,Blunt Object,Murder or Manslaughter,Yes
1,Male,Male,43,42,0,0,Anchorage,Alaska,1980,March,1,Acquaintance,Strangulation,Murder or Manslaughter,Yes
2,Female,Unknown,30,0,0,0,Anchorage,Alaska,1980,March,2,Unknown,Unknown,Murder or Manslaughter,No
3,Male,Male,43,42,0,0,Anchorage,Alaska,1980,April,1,Acquaintance,Strangulation,Murder or Manslaughter,Yes
4,Female,Unknown,30,0,0,1,Anchorage,Alaska,1980,April,2,Unknown,Unknown,Murder or Manslaughter,No
5,Male,Male,30,36,0,0,Anchorage,Alaska,1980,May,1,Acquaintance,Rifle,Murder or Manslaughter,Yes
6,Female,Male,42,27,0,0,Anchorage,Alaska,1980,May,2,Wife,Knife,Murder or Manslaughter,Yes
7,Female,Male,99,35,0,0,Anchorage,Alaska,1980,June,1,Wife,Knife,Murder or Manslaughter,Yes
8,Male,Unknown,32,0,0,0,Anchorage,Alaska,1980,June,2,Unknown,Firearm,Murder or Manslaughter,No
9,Male,Male,38,40,0,1,Anchorage,Alaska,1980,June,3,Unknown,Firearm,Murder or Manslaughter,Yes
10,Male,Unknown,36,0,0,1,Anchorage,Alaska,1980,July,1,Unknown,Unknown,Murder or Manslaughter,No
11,Male,Male,20,49,0,0,Anchorage,Alaska,1980,July,2,Stranger,Shotgun,Murder or Manslaughter,Yes
12,Female,Male,36,39,0,0,Anchorage,Alaska,1980,July,3,Girlfriend,Blunt Object,Murder or Manslaughter,Yes
13,Male,Male,20,49,0,0,Anchorage,Alaska,1980,August,1,Unknown,Fall,Murder or Manslaughter,Yes
14,Male,Unknown,48,0,0,0,Anchorage,Alaska,1980,August,2,Unknown,Handgun,Murder or Manslaughter,No
15,Male,Female,31,29,0,0,Anchorage,Alaska,1980,August,3,Ex-Husband,Handgun,Murder or Manslaughter,Yes
16,Male,Male,16,19,0,0,Anchorage,Alaska,1980,December,1,Acquaintance,Knife,Murder or Manslaughter,Yes
17,Male,Male,33,23,0,1,Juneau,Alaska,1980,November,1,Brother,Blunt Object,Murder or Manslaughter,Yes
18,Male,Male,27,33,0,0,Nome,Alaska,1980,June,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
19,Male,Male,33,35,0,0,Bethel,Alaska,1980,February,1,Brother,Handgun,Murder or Manslaughter,Yes
20,Female,Male,31,29,2,0,North Slope,Alaska,1980,August,1,Stepdaughter,Rifle,Murder or Manslaughter,Yes
21,Male,Male,21,29,2,0,North Slope,Alaska,1980,August,1,Stepdaughter,Rifle,Murder or Manslaughter,Yes
22,Male,Male,60,26,0,0,North Slope,Alaska,1980,June,1,Acquaintance,Knife,Murder or Manslaughter,Yes
23,Female,Male,40,41,0,0,North Slope,Alaska,1980,July,1,Wife,Blunt Object,Manslaughter by Negligence,Yes
24,Female,Male,16,29,2,0,North Slope,Alaska,1980,August,1,Stepdaughter,Rifle,Murder or Manslaughter,Yes
25,Female,Male,36,42,0,0,Kenai Peninsula,Alaska,1980,February,1,Wife,Handgun,Murder or Manslaughter,Yes
26,Male,Unknown,27,0,0,0,Juneau,Alaska,1980,February,1,Unknown,Handgun,Murder or Manslaughter,No
27,Male,Female,31,28,0,0,Juneau,Alaska,1980,February,2,Husband,Handgun,Murder or Manslaughter,Yes
28,Male,Female,27,36,0,0,Juneau,Alaska,1980,February,3,Brother,Rifle,Murder or Manslaughter,Yes
29,Male,Male,18,61,0,0,Juneau,Alaska,1980,April,1,Unknown,Shotgun,Murder or Manslaughter,Yes
30,Male,Male,27,25,0,0,Juneau,Alaska,1980,May,1,Brother,Rifle,Murder or Manslaughter,Yes
31,Female,Male,8,7,0,0,Juneau,Alaska,1980,June,1,Sister,Rifle,Manslaughter by Negligence,Yes
32,Male,Unknown,25,0,0,0,Juneau,Alaska,1980,July,1,Unknown,Unknown,Murder or Manslaughter,No
33,Male,Unknown,24,0,0,0,Juneau,Alaska,1980,July,2,Unknown,Unknown,Murder or Manslaughter,No
34,Male,Unknown,33,0,0,0,Juneau,Alaska,1980,July,3,Unknown,Firearm,Murder or Manslaughter,No
35,Male,Male,21,17,0,0,Juneau,Alaska,1980,August,1,Unknown,Rifle,Murder or Manslaughter,Yes
36,Female,Male,46,34,0,0,Juneau,Alaska,1980,August,2,Unknown,Rifle,Murder or Manslaughter,Yes
37,Male,Male,23,28,0,0,Juneau,Alaska,1980,October,1,Acquaintance,Rifle,Murder or Manslaughter,Yes
38,Female,Unknown,22,0,0,0,Juneau,Alaska,1980,October,2,Unknown,Firearm,Murder or Manslaughter,No
39,Male,Male,45,49,0,0,Juneau,Alaska,1980,October,3,Acquaintance,Rifle,Manslaughter by Negligence,Yes
40,Male,Male,21,21,0,0,Juneau,Alaska,1980,October,4,Friend,Rifle,Manslaughter by Negligence,Yes
41,Male,Male,26,43,0,0,Juneau,Alaska,1980,November,1,Friend,Handgun,Murder or Manslaughter,Yes
42,Male,Male,25,42,0,0,Juneau,Alaska,1980,November,2,Family,Rifle,Murder or Manslaughter,Yes
43,Female,Male,40,36,0,0,Juneau,Alaska,1980,November,3,Friend,Rifle,Manslaughter by Negligence,Yes
44,Female,Male,26,26,0,0,Juneau,Alaska,1980,November,4,Wife,Drowning,Manslaughter by Negligence,Yes
45,Male,Male,23,23,0,0,Juneau,Alaska,1980,December,1,Friend,Knife,Murder or Manslaughter,Yes
46,Male,Female,26,27,0,0,Juneau,Alaska,1980,December,2,Husband,Rifle,Manslaughter by Negligence,Yes
47,Male,Male,58,43,0,0,Jefferson,Alabama,1980,February,1,Neighbor,Rifle,Murder or Manslaughter,Yes
48,Male,Female,43,38,0,0,Jefferson,Alabama,1980,March,1,Husband,Shotgun,Murder or Manslaughter,Yes
49,Male,Male,26,66,0,0,Jefferson,Alabama,1980,April,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
50,Male,Male,17,40,0,0,Jefferson,Alabama,1980,May,1,Stranger,Handgun,Murder or Manslaughter,Yes
51,Male,Female,24,23,0,0,Jefferson,Alabama,1980,June,1,Husband,Handgun,Murder or Manslaughter,Yes
52,Male,Male,23,32,0,0,Jefferson,Alabama,1980,July,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
53,Male,Female,42,40,0,0,Jefferson,Alabama,1980,July,2,Husband,Handgun,Murder or Manslaughter,Yes
54,Male,Male,33,26,0,1,Jefferson,Alabama,1980,July,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
55,Male,Unknown,29,0,0,1,Jefferson,Alabama,1980,August,1,Unknown,Firearm,Murder or Manslaughter,No
56,Female,Male,41,37,0,0,Jefferson,Alabama,1980,August,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
57,Male,Male,68,22,0,2,Jefferson,Alabama,1980,August,3,Stranger,Handgun,Murder or Manslaughter,Yes
58,Male,Male,46,22,0,0,Jefferson,Alabama,1980,September,41,Father,Rifle,Murder or Manslaughter,Yes
59,Male,Unknown,23,0,0,1,Jefferson,Alabama,1980,October,1,Unknown,Handgun,Murder or Manslaughter,No
60,Male,Male,13,15,0,0,Jefferson,Alabama,1980,November,1,Friend,Shotgun,Manslaughter by Negligence,Yes
61,Male,Male,18,38,0,0,Jefferson,Alabama,1980,December,1,Stranger,Handgun,Murder or Manslaughter,Yes
62,Male,Male,31,43,0,0,Jefferson,Alabama,1980,February,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
63,Female,Male,35,38,0,0,Jefferson,Alabama,1980,March,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
64,Male,Male,24,30,0,0,Jefferson,Alabama,1980,March,2,In-Law,Knife,Murder or Manslaughter,Yes
65,Male,Female,26,24,0,0,Jefferson,Alabama,1980,April,1,Husband,Handgun,Murder or Manslaughter,Yes
66,Male,Female,44,23,0,0,Jefferson,Alabama,1980,April,2,Husband,Handgun,Murder or Manslaughter,Yes
67,Male,Male,54,28,0,0,Jefferson,Alabama,1980,June,1,Acquaintance,Shotgun,Murder or Manslaughter,Yes
68,Male,Male,27,25,0,0,Jefferson,Alabama,1980,June,2,Brother,Handgun,Murder or Manslaughter,Yes
69,Female,Male,23,26,0,0,Jefferson,Alabama,1980,July,1,Wife,Handgun,Murder or Manslaughter,Yes
70,Male,Male,33,65,0,0,Jefferson,Alabama,1980,July,2,Acquaintance,Knife,Murder or Manslaughter,Yes
71,Male,Male,20,24,0,0,Jefferson,Alabama,1980,October,1,Acquaintance,Knife,Murder or Manslaughter,Yes
72,Male,Male,27,25,0,0,Jefferson,Alabama,1980,October,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
73,Male,Female,31,19,0,0,Jefferson,Alabama,1980,January,1,Acquaintance,Knife,Murder or Manslaughter,Yes
74,Male,Female,45,51,0,0,Jefferson,Alabama,1980,January,2,Husband,Knife,Murder or Manslaughter,Yes
75,Male,Female,37,60,0,0,Jefferson,Alabama,1980,January,3,Son,Handgun,Murder or Manslaughter,Yes
76,Female,Male,25,43,0,0,Jefferson,Alabama,1980,January,4,Girlfriend,Handgun,Murder or Manslaughter,Yes
77,Male,Male,35,30,0,0,Jefferson,Alabama,1980,January,5,Acquaintance,Knife,Murder or Manslaughter,Yes
78,Female,Male,35,35,0,0,Jefferson,Alabama,1980,January,6,Acquaintance,Handgun,Murder or Manslaughter,Yes
79,Male,Male,35,30,0,0,Jefferson,Alabama,1980,January,7,Stranger,Handgun,Murder or Manslaughter,Yes
80,Female,Male,45,45,0,0,Jefferson,Alabama,1980,January,8,Acquaintance,Handgun,Murder or Manslaughter,Yes
81,Male,Male,22,19,0,0,Jefferson,Alabama,1980,January,9,Stranger,Shotgun,Murder or Manslaughter,Yes
82,Male,Male,38,45,0,0,Jefferson,Alabama,1980,January,10,Acquaintance,Handgun,Murder or Manslaughter,Yes
83,Male,Male,51,22,0,0,Jefferson,Alabama,1980,January,11,Acquaintance,Knife,Murder or Manslaughter,Yes
84,Male,Male,24,30,0,0,Jefferson,Alabama,1980,February,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
85,Female,Male,44,64,0,0,Jefferson,Alabama,1980,February,2,Acquaintance,Knife,Murder or Manslaughter,Yes
86,Male,Female,30,17,0,0,Jefferson,Alabama,1980,February,3,Acquaintance,Shotgun,Murder or Manslaughter,Yes
87,Male,Female,22,21,0,0,Jefferson,Alabama,1980,February,4,Husband,Knife,Murder or Manslaughter,Yes
88,Male,Male,30,32,0,0,Jefferson,Alabama,1980,February,5,Acquaintance,Knife,Murder or Manslaughter,Yes
89,Female,Male,46,49,0,0,Jefferson,Alabama,1980,February,6,Wife,Knife,Murder or Manslaughter,Yes
90,Female,Male,90,17,0,0,Jefferson,Alabama,1980,February,7,Acquaintance,Knife,Murder or Manslaughter,Yes
91,Male,Female,50,43,0,0,Jefferson,Alabama,1980,March,1,Husband,Handgun,Murder or Manslaughter,Yes
92,Female,Female,20,17,0,0,Jefferson,Alabama,1980,March,2,Family,Shotgun,Murder or Manslaughter,Yes
93,Male,Male,40,33,0,0,Jefferson,Alabama,1980,March,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
94,Male,Female,24,30,0,0,Jefferson,Alabama,1980,March,4,Husband,Handgun,Murder or Manslaughter,Yes
95,Male,Unknown,30,0,0,0,Jefferson,Alabama,1980,March,5,Unknown,Blunt Object,Murder or Manslaughter,No
96,Male,Male,38,30,0,0,Jefferson,Alabama,1980,March,6,Stranger,Handgun,Murder or Manslaughter,Yes
97,Male,Male,23,30,0,0,Jefferson,Alabama,1980,March,7,Stranger,Handgun,Murder or Manslaughter,Yes
98,Female,Male,20,18,0,0,Jefferson,Alabama,1980,April,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
99,Female,Male,23,24,0,0,Jefferson,Alabama,1980,April,2,Wife,Knife,Murder or Manslaughter,Yes
100,Male,Female,22,21,0,0,Jefferson,Alabama,1980,April,3,Husband,Handgun,Murder or Manslaughter,Yes
101,Female,Male,30,32,0,0,Jefferson,Alabama,1980,April,4,Neighbor,Handgun,Murder or Manslaughter,Yes
102,Male,Male,30,27,0,0,Jefferson,Alabama,1980,April,5,Stranger,Handgun,Murder or Manslaughter,Yes
103,Male,Male,52,28,0,0,Jefferson,Alabama,1980,May,1,Acquaintance,Blunt Object,Murder or Manslaughter,Yes
104,Male,Male,38,37,0,0,Jefferson,Alabama,1980,May,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
105,Male,Male,61,33,0,0,Jefferson,Alabama,1980,May,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
106,Male,Male,23,30,0,0,Jefferson,Alabama,1980,May,4,Stranger,Handgun,Murder or Manslaughter,Yes
107,Male,Male,30,30,0,0,Jefferson,Alabama,1980,May,5,Stranger,Handgun,Murder or Manslaughter,Yes
108,Male,Female,30,30,0,0,Jefferson,Alabama,1980,June,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
109,Male,Male,46,20,0,0,Jefferson,Alabama,1980,June,2,Acquaintance,Knife,Murder or Manslaughter,Yes
110,Male,Male,63,61,0,0,Jefferson,Alabama,1980,June,3,Neighbor,Handgun,Murder or Manslaughter,Yes
111,Female,Unknown,31,0,0,1,Jefferson,Alabama,1980,June,4,Unknown,Handgun,Murder or Manslaughter,No
112,Male,Male,30,25,0,0,Jefferson,Alabama,1980,June,5,Stranger,Shotgun,Murder or Manslaughter,Yes
113,Female,Unknown,40,0,0,1,Jefferson,Alabama,1980,June,6,Unknown,Handgun,Murder or Manslaughter,No
114,Male,Unknown,40,0,0,1,Jefferson,Alabama,1980,June,7,Unknown,Blunt Object,Murder or Manslaughter,No
115,Male,Male,19,20,0,0,Jefferson,Alabama,1980,July,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
116,Male,Female,46,33,0,0,Jefferson,Alabama,1980,July,2,Husband,Knife,Murder or Manslaughter,Yes
117,Female,Male,22,21,0,0,Jefferson,Alabama,1980,July,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
118,Male,Female,35,28,0,0,Jefferson,Alabama,1980,July,4,Husband,Knife,Murder or Manslaughter,Yes
119,Male,Male,25,20,0,0,Jefferson,Alabama,1980,July,5,Acquaintance,Shotgun,Murder or Manslaughter,Yes
120,Female,Male,35,44,0,0,Jefferson,Alabama,1980,July,6,Ex-Wife,Handgun,Murder or Manslaughter,Yes
121,Male,Male,30,29,0,0,Jefferson,Alabama,1980,July,7,Acquaintance,Handgun,Murder or Manslaughter,Yes
122,Male,Male,28,32,0,0,Jefferson,Alabama,1980,July,8,Acquaintance,Rifle,Murder or Manslaughter,Yes
123,Female,Male,70,73,0,0,Jefferson,Alabama,1980,July,9,Wife,Handgun,Murder or Manslaughter,Yes
124,Male,Male,58,62,0,0,Jefferson,Alabama,1980,August,1,Friend,Knife,Murder or Manslaughter,Yes
125,Female,Female,60,21,0,0,Jefferson,Alabama,1980,August,2,Friend,Blunt Object,Murder or Manslaughter,Yes
126,Male,Male,16,26,0,0,Jefferson,Alabama,1980,August,3,Friend,Knife,Murder or Manslaughter,Yes
127,Female,Male,28,29,0,0,Jefferson,Alabama,1980,August,4,Acquaintance,Knife,Murder or Manslaughter,Yes
128,Male,Male,72,23,0,0,Jefferson,Alabama,1980,August,5,Stranger,Shotgun,Murder or Manslaughter,Yes
129,Male,Male,17,17,0,0,Jefferson,Alabama,1980,August,6,Acquaintance,Shotgun,Murder or Manslaughter,Yes
130,Male,Male,25,44,0,0,Jefferson,Alabama,1980,August,7,Friend,Handgun,Murder or Manslaughter,Yes
131,Male,Male,17,20,0,0,Jefferson,Alabama,1980,August,8,Friend,Handgun,Murder or Manslaughter,Yes
132,Male,Unknown,50,0,0,1,Jefferson,Alabama,1980,August,9,Unknown,Handgun,Murder or Manslaughter,No
133,Male,Female,28,29,0,0,Jefferson,Alabama,1980,August,10,Husband,Knife,Murder or Manslaughter,Yes
134,Male,Unknown,70,0,0,1,Jefferson,Alabama,1980,August,11,Stranger,Shotgun,Murder or Manslaughter,No
135,Male,Male,26,25,0,0,Jefferson,Alabama,1980,September,1,Acquaintance,Knife,Murder or Manslaughter,Yes
136,Female,Unknown,74,0,0,0,Jefferson,Alabama,1980,September,2,Unknown,Knife,Murder or Manslaughter,No
137,Male,Female,31,39,0,0,Jefferson,Alabama,1980,September,3,Neighbor,Handgun,Murder or Manslaughter,Yes
138,Male,Male,31,30,0,1,Jefferson,Alabama,1980,October,1,Stranger,Handgun,Murder or Manslaughter,Yes
139,Male,Male,53,69,0,0,Jefferson,Alabama,1980,October,2,Acquaintance,Rifle,Murder or Manslaughter,Yes
140,Male,Male,30,25,0,0,Jefferson,Alabama,1980,October,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
141,Male,Male,19,25,0,0,Jefferson,Alabama,1980,October,4,Acquaintance,Handgun,Murder or Manslaughter,Yes
142,Male,Male,33,26,0,0,Jefferson,Alabama,1980,October,5,Acquaintance,Handgun,Murder or Manslaughter,Yes
143,Male,Unknown,30,0,0,1,Jefferson,Alabama,1980,October,6,Unknown,Shotgun,Murder or Manslaughter,No
144,Male,Male,30,29,0,0,Jefferson,Alabama,1980,October,7,Acquaintance,Handgun,Murder or Manslaughter,Yes
145,Male,Male,32,52,0,0,Jefferson,Alabama,1980,October,8,Acquaintance,Handgun,Murder or Manslaughter,Yes
146,Male,Male,57,18,0,0,Jefferson,Alabama,1980,October,9,Stranger,Handgun,Murder or Manslaughter,Yes
147,Male,Unknown,25,0,0,1,Jefferson,Alabama,1980,October,10,Unknown,Handgun,Murder or Manslaughter,No
148,Female,Unknown,24,0,0,1,Jefferson,Alabama,1980,October,11,Unknown,Handgun,Murder or Manslaughter,No
149,Male,Male,40,30,0,0,Jefferson,Alabama,1980,November,1,Stranger,Handgun,Murder or Manslaughter,Yes
150,Male,Male,17,16,0,0,Jefferson,Alabama,1980,November,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
151,Male,Male,20,25,0,0,Jefferson,Alabama,1980,November,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
152,Female,Unknown,76,0,0,1,Jefferson,Alabama,1980,November,4,Unknown,Knife,Murder or Manslaughter,No
153,Male,Male,22,23,0,0,Jefferson,Alabama,1980,November,5,Friend,Knife,Murder or Manslaughter,Yes
154,Male,Male,79,25,0,0,Jefferson,Alabama,1980,November,6,Stranger,Handgun,Murder or Manslaughter,Yes
155,Male,Unknown,60,0,0,1,Jefferson,Alabama,1980,November,7,Unknown,Blunt Object,Murder or Manslaughter,No
156,Female,Male,51,42,0,0,Jefferson,Alabama,1980,December,1,Wife,Handgun,Murder or Manslaughter,Yes
157,Female,Male,69,90,0,0,Jefferson,Alabama,1980,December,2,Wife,Handgun,Murder or Manslaughter,Yes
158,Male,Unknown,40,0,0,1,Jefferson,Alabama,1980,December,4,Unknown,Shotgun,Murder or Manslaughter,No
159,Male,Male,51,30,0,0,Jefferson,Alabama,1980,December,5,Stranger,Handgun,Murder or Manslaughter,Yes
160,Male,Male,34,30,0,0,Jefferson,Alabama,1980,December,6,Stranger,Handgun,Murder or Manslaughter,Yes
161,Male,Male,30,39,0,0,Jefferson,Alabama,1980,December,7,Acquaintance,Handgun,Murder or Manslaughter,Yes
162,Male,Female,31,25,0,0,Jefferson,Alabama,1980,December,8,Ex-Husband,Handgun,Murder or Manslaughter,Yes
163,Male,Male,35,35,0,0,Jefferson,Alabama,1980,December,9,Acquaintance,Handgun,Murder or Manslaughter,Yes
164,Male,Male,40,42,0,0,Jefferson,Alabama,1980,December,10,Acquaintance,Handgun,Murder or Manslaughter,Yes
165,Male,Male,40,34,0,0,Jefferson,Alabama,1980,December,33,Husband,Rifle,Murder or Manslaughter,Yes
166,Male,Female,25,24,0,0,Jefferson,Alabama,1980,April,1,Husband,Handgun,Murder or Manslaughter,Yes
167,Female,Male,40,60,0,0,Jefferson,Alabama,1980,May,1,Friend,Handgun,Murder or Manslaughter,Yes
168,Male,Male,66,23,0,1,Jefferson,Alabama,1980,July,1,Stranger,Handgun,Murder or Manslaughter,Yes
169,Male,Male,55,32,0,3,Jefferson,Alabama,1980,July,2,Stranger,Handgun,Murder or Manslaughter,Yes
170,Male,Male,20,19,0,0,Jefferson,Alabama,1980,March,1,Acquaintance,Knife,Murder or Manslaughter,Yes
171,Male,Male,61,25,0,0,Jefferson,Alabama,1980,March,2,Father,Shotgun,Murder or Manslaughter,Yes
172,Female,Male,33,42,0,0,Jefferson,Alabama,1980,October,1,Girlfriend,Handgun,Murder or Manslaughter,Yes
173,Male,Male,24,22,1,1,Jefferson,Alabama,1980,December,1,Acquaintance,Shotgun,Murder or Manslaughter,Yes
174,Male,Male,18,22,1,1,Jefferson,Alabama,1980,December,1,Acquaintance,Shotgun,Murder or Manslaughter,Yes
175,Male,Male,67,40,0,0,Jefferson,Alabama,1980,May,1,Father,Handgun,Murder or Manslaughter,Yes
176,Male,Male,21,21,0,0,Jefferson,Alabama,1980,August,1,Stranger,Unknown,Murder or Manslaughter,Yes
177,Male,Unknown,29,0,0,1,Mobile,Alabama,1980,January,1,Unknown,Handgun,Murder or Manslaughter,No
178,Male,Female,21,22,0,0,Mobile,Alabama,1980,January,2,Husband,Shotgun,Murder or Manslaughter,Yes
179,Male,Male,50,56,0,0,Mobile,Alabama,1980,January,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
180,Male,Female,52,22,0,0,Mobile,Alabama,1980,February,1,Acquaintance,Shotgun,Murder or Manslaughter,Yes
181,Male,Female,37,37,0,0,Mobile,Alabama,1980,March,1,Husband,Handgun,Murder or Manslaughter,Yes
182,Male,Male,30,23,0,0,Mobile,Alabama,1980,March,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
183,Male,Unknown,65,0,0,1,Mobile,Alabama,1980,March,3,Unknown,Handgun,Murder or Manslaughter,No
184,Male,Female,52,39,0,1,Mobile,Alabama,1980,May,1,Husband,Rifle,Murder or Manslaughter,Yes
185,Male,Male,34,32,0,0,Mobile,Alabama,1980,June,1,Stranger,Handgun,Murder or Manslaughter,Yes
186,Male,Male,26,37,0,0,Mobile,Alabama,1980,June,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
187,Male,Male,40,23,0,0,Mobile,Alabama,1980,June,3,Acquaintance,Knife,Murder or Manslaughter,Yes
188,Male,Female,47,47,0,0,Mobile,Alabama,1980,July,1,Husband,Handgun,Murder or Manslaughter,Yes
189,Male,Male,36,30,0,0,Mobile,Alabama,1980,July,2,Acquaintance,Handgun,Murder or Manslaughter,Yes
190,Male,Male,50,24,1,1,Mobile,Alabama,1980,July,3,Stranger,Knife,Murder or Manslaughter,Yes
191,Male,Male,44,27,0,0,Mobile,Alabama,1980,January,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
192,Female,Male,1,24,0,0,Mobile,Alabama,1980,January,2,Unknown,Blunt Object,Murder or Manslaughter,Yes
193,Male,Male,23,0,0,0,Mobile,Alabama,1980,January,3,Stranger,Handgun,Murder or Manslaughter,Yes
194,Female,Male,21,41,0,0,Mobile,Alabama,1980,January,4,Wife,Handgun,Murder or Manslaughter,Yes
195,Male,Female,48,39,0,0,Mobile,Alabama,1980,January,5,Husband,Handgun,Murder or Manslaughter,Yes
196,Female,Male,57,34,0,0,Mobile,Alabama,1980,January,6,Acquaintance,Blunt Object,Murder or Manslaughter,Yes
197,Male,Unknown,37,0,0,1,Mobile,Alabama,1980,February,1,Unknown,Firearm,Murder or Manslaughter,No
198,Female,Male,35,35,0,0,Mobile,Alabama,1980,February,2,Girlfriend,Knife,Murder or Manslaughter,Yes
199,Female,Male,32,47,0,0,Mobile,Alabama,1980,February,3,Wife,Rifle,Murder or Manslaughter,Yes
200,Female,Male,38,41,0,0,Mobile,Alabama,1980,March,1,Wife,Handgun,Murder or Manslaughter,Yes
201,Male,Male,25,32,0,0,Mobile,Alabama,1980,March,2,Stranger,Handgun,Murder or Manslaughter,Yes
202,Male,Male,67,37,0,0,Mobile,Alabama,1980,March,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
203,Male,Male,34,52,0,0,Mobile,Alabama,1980,March,4,Stranger,Handgun,Murder or Manslaughter,Yes
204,Male,Female,24,32,0,0,Mobile,Alabama,1980,March,5,Acquaintance,Knife,Murder or Manslaughter,Yes
205,Male,Male,50,28,0,0,Mobile,Alabama,1980,April,1,Acquaintance,Shotgun,Murder or Manslaughter,Yes
206,Male,Male,49,29,0,0,Mobile,Alabama,1980,April,2,Stranger,Blunt Object,Murder or Manslaughter,Yes
207,Male,Male,24,25,0,0,Mobile,Alabama,1980,April,3,Stranger,Handgun,Murder or Manslaughter,Yes
208,Male,Male,34,26,0,0,Mobile,Alabama,1980,April,4,Acquaintance,Blunt Object,Murder or Manslaughter,Yes
209,Female,Unknown,18,0,0,1,Mobile,Alabama,1980,May,1,Unknown,Handgun,Murder or Manslaughter,No
210,Male,Unknown,63,0,0,1,Mobile,Alabama,1980,May,2,Unknown,Blunt Object,Murder or Manslaughter,No
211,Male,Male,41,27,0,0,Mobile,Alabama,1980,May,3,Acquaintance,Handgun,Murder or Manslaughter,Yes
212,Male,Unknown,29,0,0,1,Mobile,Alabama,1980,May,4,Unknown,Handgun,Murder or Manslaughter,No
213,Male,Female,45,27,0,0,Mobile,Alabama,1980,May,5,Boyfriend,Blunt Object,Murder or Manslaughter,Yes
214,Female,Unknown,45,0,0,1,Mobile,Alabama,1980,May,6,Unknown,Handgun,Murder or Manslaughter,No
215,Female,Male,51,57,0,0,Mobile,Alabama,1980,June,1,Wife,Shotgun,Murder or Manslaughter,Yes
216,Male,Male,33,0,0,0,Mobile,Alabama,1980,June,2,Unknown,Knife,Murder or Manslaughter,Yes
217,Female,Male,67,47,0,0,Mobile,Alabama,1980,June,3,Mother,Blunt Object,Murder or Manslaughter,Yes
218,Female,Male,67,27,0,0,Mobile,Alabama,1980,June,4,Neighbor,Handgun,Murder or Manslaughter,Yes
219,Female,Male,27,29,0,0,Mobile,Alabama,1980,June,5,Wife,Knife,Murder or Manslaughter,Yes
220,Male,Male,29,25,0,0,Mobile,Alabama,1980,June,6,Stranger,Handgun,Murder or Manslaughter,Yes
221,Male,Male,32,31,0,0,Mobile,Alabama,1980,July,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
222,Male,Male,26,22,0,0,Mobile,Alabama,1980,July,2,Acquaintance,Knife,Murder or Manslaughter,Yes
223,Male,Male,38,24,1,1,Mobile,Alabama,1980,July,3,Stranger,Knife,Murder or Manslaughter,Yes
224,Male,Male,18,17,0,0,Mobile,Alabama,1980,August,1,Acquaintance,Knife,Murder or Manslaughter,Yes
225,Male,Male,26,26,0,0,Mobile,Alabama,1980,August,2,Acquaintance,Shotgun,Murder or Manslaughter,Yes
226,Male,Male,62,17,0,0,Mobile,Alabama,1980,September,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
227,Female,Male,26,34,0,0,Mobile,Alabama,1980,September,2,Sister,Handgun,Murder or Manslaughter,Yes
228,Female,Unknown,19,0,0,1,Mobile,Alabama,1980,September,3,Unknown,Knife,Murder or Manslaughter,No
229,Female,Male,23,27,0,0,Mobile,Alabama,1980,September,4,Wife,Handgun,Murder or Manslaughter,Yes
230,Female,Male,27,24,0,0,Mobile,Alabama,1980,September,5,Girlfriend,Handgun,Murder or Manslaughter,Yes
231,Female,Female,46,30,0,0,Mobile,Alabama,1980,September,7,Acquaintance,Handgun,Murder or Manslaughter,Yes
232,Male,Male,43,30,0,0,Mobile,Alabama,1980,October,1,Stranger,Handgun,Murder or Manslaughter,Yes
233,Male,Unknown,43,0,0,1,Mobile,Alabama,1980,October,2,Unknown,Blunt Object,Murder or Manslaughter,No
